Source,RA,DEC,Plx,Gmag,BPmag,RPmag
604834650586110592,134.04333333333332,12.07725,5.929,16.8144,18.2481,15.6211
612292534878882944,134.04675,18.20777777777778,6.1498,16.4138,17.834101,15.2163
686143879058396032,134.05508333333336,22.632361111111113,6.453,16.2608,17.5686,15.1194
597503377634646656,134.06691666666666,9.405138888888889,5.632,20.9622,21.028601,19.7337
660562126130388992,134.09470833333333,19.42713888888889,5.8876,15.666,17.129801,14.4641
692692634737233408,134.10966666666667,27.482638888888886,5.0538,19.1887,20.3293,17.8825
692649242683526528,134.12787500000002,27.18963888888889,5.6673,17.3172,18.728201,16.124399
597764374208267520,134.13554166666668,10.292916666666667,5.7684,20.8098,21.4655,19.143299
691603912068028672,134.20495833333334,25.556250000000002,4.9639,20.4762,21.254601,18.948601
610632822076460416,134.217,15.950833333333332,6.5713,16.0835,17.586399,14.8753
691697542354250752,134.23041666666668,26.18080555555556,5.3019,20.4048,21.1567,18.728901
685821481633377920,134.25566666666666,21.589972222222222,5.7647,16.7086,18.440599,15.4054
610632714702218112,134.26854166666666,15.95375,4.8881,20.3841,21.438601,18.944201
660599853123159424,134.36829166666664,19.72458333333333,5.3755,17.0097,18.490299,15.702
691613464074363904,134.41420833333333,25.773138888888887,4.8283,19.5797,20.993,18.1537
608705305177963264,134.45279166666666,14.198472222222222,4.7912,19.2084,21.035999,17.8204
692685487911571072,134.46104166666666,27.569222222222223,5.8729,18.8669,20.493799,17.468201
612441892365373184,134.46766666666664,18.835194444444443,5.7419,18.9857,20.8239,17.5938
686324095885893632,134.49266666666665,22.53813888888889,4.9299,16.9473,18.3004,15.7863
685854913658785024,134.52145833333336,21.8795,4.9147,16.6896,18.121,15.4963
603885767756263168,134.52849999999998,11.20275,5.2969,17.9473,19.8545,16.632
689796044369247616,134.54341666666667,24.51013888888889,4.7997,18.0947,19.754499,16.8141
686585397400693760,134.54908333333333,23.515416666666667,5.4609,20.0009,20.0674,19.6152
612219554793805056,134.5536666666667,17.877972222222223,4.7219,19.716,21.070601,18.258499
610555886326447744,134.58208333333334,15.483638888888889,5.3368,18.2998,19.879299,17.0231
660597718525396736,134.586125,19.73438888888889,4.755,17.255,0.0,0.0
660597722819368704,134.58620833333333,19.733944444444447,4.9187,15.7741,17.0012,14.4914
610762147836275072,134.59662500000002,16.508694444444444,5.0476,20.2516,21.0889,18.8319
686730571591200768,134.60925,23.766472222222223,5.6759,16.6843,18.2659,15.4252
686730571590337152,134.609625,23.766416666666668,5.3989,19.5491,0.0,0.0
610582102807282560,134.61858333333333,15.796777777777777,4.8543,18.4694,20.085899,17.1394
612270540350655616,134.66275,18.286527777777778,6.3438,11.4934,11.9082,10.8119
610337873786504320,134.68025,15.23575,5.1655,17.2478,19.0457,15.9364
693065304755140608,134.718625,27.799166666666668,5.7218,16.0375,17.3729,14.8895
684621669633010176,134.72104166666665,19.992,6.4726,18.3917,20.1399,17.0403
610759983172946560,134.7780833333333,16.519805555555553,4.9606,20.1859,20.638599,18.618
691810865067168000,134.78541666666666,26.655472222222222,4.9055,9.57709,9.8259,9.20545
684988219321943936,134.81370833333332,20.978166666666667,5.402,17.6507,19.4109,16.353399
684571641854209536,134.81458333333333,19.834416666666666,6.4769,20.4166,20.434299,19.828501
686255238970316160,134.82,22.278333333333332,6.5762,16.8044,18.447399,15.5443
684572981884128256,134.82062499999998,19.88213888888889,4.8832,20.1598,21.334,18.570101
691804229341491968,134.82066666666665,26.48258333333333,5.5349,18.2299,19.791901,16.9494
612058476339844352,134.82220833333332,18.033944444444447,5.0238,19.7384,0.0,0.0
691323781416440960,134.83604166666663,24.956138888888887,5.0289,20.5892,20.620199,19.081301
611551975142100480,134.851125,16.954916666666666,4.7801,15.496,16.688299,14.4031
686744143687763584,134.85854166666664,24.00936111111111,5.878,16.7845,18.3752,15.5492
685106111880337536,134.90745833333332,21.83163888888889,6.1663,16.0963,17.7813,14.8316
693525622171239936,134.90974999999997,29.545694444444447,5.4147,16.6102,18.1394,15.3931
610375051023356288,134.9562083333333,15.562916666666668,6.2128,12.5837,13.1849,11.8642
612468658601702272,135.04408333333333,19.123055555555556,6.3071,18.2767,20.1791,16.8985
612455056441184256,135.06033333333332,18.907944444444443,5.3461,18.366,20.3536,16.9967
691360095363698304,135.07283333333334,25.248055555555556,5.1343,20.592,21.218399,19.0285
685479907178611840,135.16391666666667,21.913833333333333,5.7717,20.8235,21.0571,19.3528
692223181926560896,135.18004166666665,27.10825,6.0646,18.2369,19.7901,16.568399
